Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
18,F,Graduate,60000,B,70,High,14,Science,Public,High,High,No,Low,Medium,Low,Negative,Low,72,Yes,9,Balanced,High,7,Yes,Negative,No,Yes,Auditory,Yes,Yes,Medium,4,High,A
20,M,Graduate,50000,A,82,Medium,20,Business,Public,High,Low,Yes,Low,Low,Low,Positive,Medium,36,No,9,Balanced,Low,3,Yes,Negative,Yes,Yes,Visual,No,No,High,5,Medium,A
20,F,High School,50000,C,100,Low,12,Science,Private,Medium,Medium,Yes,Low,High,High,Positive,High,41,No,5,Healthy,High,9,No,Positive,No,No,Auditory,Yes,No,Medium,4,High,C
20,M,College,60000,A,97,Low,18,Medicine,Private,Medium,Medium,No,Low,Medium,Low,Negative,Medium,62,No,8,Healthy,High,6,No,Negative,No,No,Auditory,Yes,No,High,4,Medium,C
20,M,High School,60000,C,78,High,19,Science,Private,High,Low,High,Low,Low,Medium,Neutral,Medium,94,No,5,Healthy,Low,3,Yes,Positive,No,No,Auditory,No,No,Low,6,Medium,B
19,M,Some College,60000,C,80,High,17,Law,Public,Low,High,Yes,High,Medium,High,Neutral,High,65,No,5,Balanced,Medium,3,No,Neutral,Yes,Yes,Auditory,No,Yes,Low,2,High,B
18,M,Graduate,40000,B,96,Medium,14,Law,Public,High,Medium,Yes,Medium,Low,High,Positive,High,60,No,9,Unhealthy,High,6,No,Negative,No,No,Kinesthetic,No,No,Low,6,Low,A
19,M,College,50000,A,79,High,12,Law,Public,Medium,Low,Yes,Medium,High,Low,Neutral,High,99,Yes,4,Unhealthy,Medium,7,No,Neutral,No,Yes,Visual,Yes,No,High,1,Medium,C
21,F,Some College,75000,C,74,Medium,6,Business,Private,Medium,Low,Yes,High,Low,Low,Negative,Medium,50,No,8,Healthy,High,5,No,Negative,No,Yes,Auditory,Yes,No,High,1,High,B
21,F,Some College,40000,A,88,High,11,Engineering,Public,High,Low,Yes,High,Medium,Medium,Negative,High,64,Yes,9,Balanced,Low,5,Yes,Negative,Yes,No,Visual,No,No,High,3,Low,A
21,F,Graduate,75000,B,84,Medium,17,Medicine,Public,Low,High,No,High,Medium,Medium,Neutral,Low,84,No,4,Balanced,Medium,7,No,Positive,No,Yes,Kinesthetic,No,No,Medium,6,Medium,B
22,F,Some College,60000,C,83,High,15,Science,Private,Medium,Medium,No,High,Low,Medium,Neutral,High,34,No,5,Healthy,High,4,No,Negative,No,No,Kinesthetic,Yes,Yes,High,3,High,A
21,F,Graduate,30000,A,96,High,11,Medicine,Public,Low,High,Yes,High,Medium,Low,Negative,High,84,No,7,Healthy,High,9,Yes,Neutral,Yes,Yes,Kinesthetic,No,Yes,Medium,1,Medium,A
20,M,College,40000,C,80,Medium,14,Arts,Private,High,High,Yes,Low,Medium,Medium,Negative,Low,96,Yes,6,Healthy,Medium,5,No,Negative,No,Yes,Visual,Yes,No,Low,4,Medium,B
20,M,High School,40000,B,89,Low,11,Law,Public,Low,High,Yes,Medium,High,Medium,Positive,High,37,Yes,9,Unhealthy,Low,8,Yes,Neutral,No,No,Auditory,Yes,No,High,5,Low,B
18,F,High School,30000,B,89,High,15,Business,Private,Low,Medium,No,Medium,Low,Low,Positive,Medium,87,No,8,Healthy,Low,8,No,Positive,Yes,Yes,Visual,No,Yes,High,3,Low,C
22,M,High School,60000,C,97,Medium,9,Arts,Private,Low,Medium,Yes,Low,Medium,High,Negative,High,39,No,9,Balanced,Medium,6,No,Positive,Yes,No,Auditory,No,Yes,Low,3,Medium,B
20,M,College,50000,B,98,Low,9,Arts,Public,High,Medium,Yes,Medium,Medium,Low,Neutral,Medium,64,Yes,4,Unhealthy,High,2,Yes,Positive,Yes,No,Kinesthetic,No,Yes,High,2,Medium,B
19,F,College,30000,A,72,High,11,Medicine,Public,Low,Medium,No,Medium,Medium,Medium,Neutral,Medium,39,Yes,7,Healthy,Low,7,Yes,Neutral,No,No,Auditory,Yes,No,Low,3,Low,C
22,F,High School,75000,A,92,Low,19,Arts,Private,Medium,Low,No,Low,Low,High,Neutral,Medium,35,No,5,Healthy,Low,8,Yes,Negative,No,Yes,Auditory,Yes,No,Medium,5,High,A
18,M,Some College,60000,A,81,High,8,Business,Public,Medium,Low,No,Low,Medium,Medium,Neutral,Medium,23,No,9,Unhealthy,High,3,No,Positive,Yes,No,Visual,No,Yes,Medium,3,High,C
21,M,High School,40000,B,81,Medium,12,Engineering,Public,High,High,Yes,Medium,Low,High,Neutral,High,41,No,8,Healthy,Low,3,Yes,Neutral,No,Yes,Visual,No,Yes,Low,4,High,C
